"Search.Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Country"	"Region"	"Location.Name"	"Latitude"	"Longitude"	"Focal.Depth..km."	"Mag"	"MMI.Int"	"Deaths"	"Death.Description"	"Missing"	"Missing.Description"	"Injuries"	"Injuries.Description"	"Damage...Mil."	"Damage.Description"	"Houses.Destroyed"	"Houses.Destroyed.Description"	"Houses.Damaged"	"Houses.Damaged.Description"	"Total.Deaths"	"Total.Death.Description"	"Total.Missing"	"Total.Missing.Description"	"Total.Injuries"	"Total.Injuries.Description"	"Total.Damage...Mil."	"Total.Damage.Description"	"Total.Houses.Destroyed"	"Total.Houses.Destroyed.Description"	"Total.Houses.Damaged"	"Total.Houses.Damaged.Description"	"Mag.full"	"Freq.Country"
"654"	""	1985	4	18	5	52	52.8	NA	NA	"CHINA"	30	"CHINA:  YUNNAN PROVINCE"	25.926	102.871	5	5.8	8	23	1	NA	NA	300	3	1	2	NA	NA	NA	NA	23	1	NA	NA	300	3	1	2	NA	NA	NA	NA	5	152
"655"	""	1985	4	24	1	7	14.5	NA	NA	"PHILIPPINES"	170	"PHILIPPINES:  LUZON:  BENGUET PROVINCE,  BAGUIO"	16.498	120.815	33	6.1	7	6	1	NA	NA	11	1	NA	2	NA	NA	NA	NA	6	1	NA	NA	11	1	NA	2	NA	NA	NA	NA	6	49
"656"	""	1985	5	10	15	35	50.5	NA	NA	"PAPUA NEW GUINEA"	170	"PAPUA NEW GUINEA:  NEW BRITAIN:  BIALLA, PIONA"	-5.599	151.045	27	7.1	8	1	1	NA	NA	NA	NA	1	2	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	2	NA	NA	NA	NA	7	22
"657"	""	1985	7	29	7	54	44	NA	NA	"AFGHANISTAN"	40	"AFGHANISTAN:  HINDU KUSH:  CHITRAL, SWAT"	36.19	70.896	99	6.6	8	5	1	NA	NA	38	1	2	2	NA	NA	NA	NA	5	1	NA	NA	38	1	2	2	NA	NA	NA	NA	6	35
"658"	""	1985	8	23	12	41	56.1	NA	NA	"CHINA"	40	"CHINA:  S XINJIANG:  WUQUA-SHUFU"	39.431	75.224	7	7.5	7	71	2	NA	NA	162	3	5	2	NA	3	NA	NA	71	2	NA	NA	162	3	5	2	NA	3	NA	NA	7	152
"659"	""	1985	9	15	2	42	54.8	NA	NA	"INDONESIA"	170	"INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ENAROTALI"	-4.13	136.049	10	6.3	NA	10	1	NA	NA	7	1	NA	2	NA	NA	NA	NA	10	1	NA	NA	7	1	NA	2	NA	NA	NA	NA	6	125
"660"	""	1985	9	19	13	17	47.3	2162	NA	"MEXICO"	150	"MEXICO:  MICHOACAN:  MEXICO CITY"	18.19	-102.533	28	8.1	9	9500	4	NA	NA	30000	4	4000	4	NA	4	NA	NA	9500	4	NA	NA	30000	4	4000	4	NA	4	NA	NA	8	53
"661"	""	1985	10	13	15	59	51.2	NA	NA	"TAJIKISTAN"	40	"TAJIKISTAN:  KAPTOLYUK, KAYRAKKUM, GAFUROV"	40.301	69.823	16	5.9	9	29	1	NA	NA	80	2	200	4	NA	3	NA	3	29	1	NA	NA	80	2	200	4	NA	3	NA	NA	5	14
"662"	""	1985	10	27	19	34	57.1	NA	NA	"ALGERIA"	15	"ALGERIA:  ANNABA-SETIF-SOUK"	36.46	6.761	10	5.9	NA	6	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	6	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	5	22
"663"	""	1985	12	25	2	38	56.5	NA	NA	"ITALY"	130	"ITALY:  SICILY"	37.688	15.068	10	4.3	NA	1	1	NA	NA	14	1	NA	1	NA	NA	NA	NA	1	1	NA	NA	14	1	NA	1	NA	NA	NA	NA	4	42
"664"	""	1986	1	11	19	42	21.9	NA	NA	"PERU"	160	"PERU:  HUARMEY, CASMA, HUARAX, CHIMBOTE"	-9.505	-77.512	39	5.3	4	1	1	NA	NA	NA	NA	NA	2	60	2	NA	NA	1	1	NA	NA	NA	NA	NA	2	60	2	NA	NA	5	67
"665"	""	1986	4	5	20	14	28.7	NA	NA	"PERU"	160	"PERU:  CUZCO"	-13.41	-71.785	51	4.6	6	16	1	NA	NA	170	3	22	3	2000	4	NA	NA	16	1	NA	NA	170	3	22	3	2000	4	NA	NA	4	67
"666"	""	1986	4	26	7	35	16.1	NA	NA	"INDIA"	60	"INDIA:  KASHMIR:  DHARMSALA,  LAHORE, PAKISTAN"	32.128	76.374	33	5.3	NA	6	1	NA	NA	30	1	NA	3	NA	NA	NA	NA	6	1	NA	NA	60	1	NA	3	NA	NA	NA	3	5	32
"667"	""	1986	5	5	3	35	38.8	NA	NA	"TURKEY"	140	"TURKEY:  DOGANSEHIR-GOLBASHI, KAPIDERE"	37.993	37.806	10	5.9	NA	15	1	NA	NA	100	2	5	2	4000	4	NA	NA	15	1	NA	NA	100	2	5	2	4000	4	NA	NA	5	104
"668"	""	1986	5	13	8	44	2.1	NA	NA	"GEORGIA"	40	"GEORGIA:  AKHALKALAKI, SUSUZ"	41.431	43.737	10	5.7	7	2	1	NA	NA	NA	NA	NA	3	1500	4	1500	4	2	1	NA	NA	NA	NA	NA	3	1500	4	NA	NA	5	4
"669"	""	1986	5	20	5	25	46.9	NA	NA	"TAIWAN"	30	"TAIWAN:  HUALIEN"	24.125	121.619	19	6.4	NA	1	1	NA	NA	5	1	NA	1	NA	NA	NA	NA	1	1	NA	NA	5	1	NA	1	NA	NA	NA	NA	6	54
"670"	""	1986	6	11	13	48	1.3	NA	NA	"VENEZUELA"	160	"VENEZUELA"	10.597	-62.928	19	6.2	7	2	1	NA	NA	45	1	1	2	NA	NA	NA	NA	2	1	NA	NA	45	1	1	2	NA	NA	NA	NA	6	13
"671"	""	1986	7	12	7	54	26.8	NA	NA	"IRAN"	140	"IRAN:  S, FARS PROVINCE, MAMASANI, SHIRAZ"	29.962	51.582	10	5.6	NA	1	1	NA	NA	4	1	NA	2	300	3	NA	NA	1	1	NA	NA	4	1	NA	2	300	3	NA	NA	5	138
"672"	""	1986	7	18	17	22	38.2	NA	NA	"VENEZUELA"	160	"VENEZUELA:  CHURUGUARA,  FALCON, LARA"	10.77	-69.428	7	4.9	NA	1	1	NA	NA	NA	NA	NA	1	30	1	NA	NA	1	1	NA	NA	NA	NA	NA	1	30	1	NA	NA	4	13
"673"	""	1986	8	30	21	28	35.4	NA	NA	"ROMANIA"	110	"ROMANIA:  BUCHAREST, KISHINEV-KAGUL"	45.547	26.316	132	6.9	8	2	1	NA	NA	558	3	730	4	NA	NA	55000	4	2	1	NA	NA	558	3	730	4	NA	NA	55000	4	6	5
"674"	""	1986	9	13	17	24	31.4	NA	NA	"GREECE"	130	"GREECE:  KALAMI, LAKONIA, ZAKINTHOS"	37.014	22.176	11	5.8	10	20	1	NA	NA	300	3	5	2	1500	4	NA	NA	20	1	NA	NA	300	3	NA	NA	1500	4	NA	NA	5	46
"675"	""	1986	10	10	17	49	24.1	NA	NA	"EL SALVADOR"	100	"EL SALVADOR:  SAN SALVADOR"	13.827	-89.118	7	5.4	NA	1100	4	NA	NA	10000	4	1500	4	NA	NA	NA	NA	1100	4	NA	NA	20000	4	1500	4	NA	NA	NA	NA	5	10
"676"	""	1986	11	14	21	20	10.5	3507	NA	"TAIWAN"	30	"TAIWAN:  TAIPEI, HUALIEN"	23.901	121.574	34	7.8	8	15	1	NA	NA	44	1	NA	1	NA	NA	NA	NA	15	1	NA	NA	50	1	NA	1	NA	NA	NA	NA	7	54
"677"	""	1986	12	7	14	17	9.5	NA	NA	"BULGARIA"	110	"BULGARIA:  VELIKO TURNOVO-TURGOVISHTE"	43.274	25.912	21	5.6	7	3	1	NA	NA	60	2	5	2	NA	NA	NA	NA	3	1	NA	NA	60	2	5	2	NA	NA	NA	NA	5	4
"678"	""	1987	1	26	11	11	41.8	NA	NA	"ALGERIA"	15	"ALGERIA:  MOHAMMADIA, QUED, FODDA, TISSEMSILT"	35.964	1.374	10	4.3	NA	1	1	NA	NA	7	1	1	2	629	3	NA	NA	1	1	NA	NA	7	1	1	2	629	3	NA	NA	4	22
"679"	""	1987	2	8	18	33	58.3	2168	NA	"PAPUA NEW GUINEA"	170	"PAPUA NEW GUINEA:  HUON PENINSULA, UMBOI ISLAND"	-6.088	147.689	55	7.6	7	3	1	NA	NA	NA	NA	2.625	2	NA	3	NA	NA	3	1	NA	NA	NA	NA	2.625	2	NA	3	NA	NA	7	22
"680"	""	1987	3	2	1	42	34.1	NA	NA	"NEW ZEALAND"	170	"NEW ZEALAND:  NORTH ISLAND, WHAKATANI, EDGECUMBE"	-37.965	176.765	19	6.6	10	1	1	NA	NA	25	1	210	4	NA	NA	NA	NA	1	1	NA	NA	25	1	210	4	NA	NA	NA	NA	6	9
"681"	""	1987	3	5	9	17	5.2	2169	NA	"CHILE"	160	"CHILE:  ANTOFAGASTA, ARICA"	-24.388	-70.161	62	7.3	6	1	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	7	43
"682"	""	1987	3	6	4	10	44.4	NA	NA	"ECUADOR"	160	"ECUADOR:  NAPO PROVINCE, QUITO, TULCAN"	0.083	-77.785	10	7.2	NA	5000	4	NA	NA	NA	NA	1500	4	NA	NA	NA	NA	5000	4	NA	NA	NA	NA	1500	4	NA	NA	NA	NA	7	21
"683"	""	1987	3	18	3	36	30.3	2170	NA	"JAPAN"	30	"JAPAN:  KYUSHU:  MIYAZAKI, NAZE"	32.034	131.837	54	6.7	NA	2	1	NA	NA	5	1	NA	2	NA	NA	NA	NA	2	1	NA	NA	5	1	NA	2	NA	NA	NA	NA	6	63
"684"	""	1987	4	25	19	22	7.2	NA	NA	"INDONESIA"	60	"INDONESIA:  SUMATERA:  N, TARUTUNG-LAKE TOBA,"	2.244	98.866	11	6.6	NA	2	1	NA	NA	22	1	1	2	300	3	NA	NA	2	1	NA	NA	22	1	1	2	300	3	NA	NA	6	125
"685"	""	1987	5	23	17	9	4.4	NA	NA	"PHILIPPINES"	170	"PHILIPPINES:  MINDANAO:  TALAKAG-MALAYBALAY"	8.047	125.41	32	5.2	2	1	1	NA	NA	2	1	NA	1	NA	NA	NA	NA	1	1	NA	NA	2	1	NA	1	NA	NA	NA	NA	5	49
"686"	""	1987	5	29	6	27	50.7	NA	NA	"IRAN"	140	"IRAN:  W, NAHAVAND-HAMADEN-TUYSARKAN"	34.076	48.266	41	4.6	NA	2	1	NA	NA	50	1	NA	1	NA	NA	NA	NA	2	1	NA	NA	50	1	NA	1	NA	NA	NA	NA	4	138
"687"	""	1987	8	8	15	48	56.7	NA	NA	"CHILE"	160	"CHILE:  ARICA, IQUIQUE"	-19.022	-69.991	70	6.9	7	5	1	NA	NA	112	3	1	2	1000	3	NA	NA	5	1	NA	NA	112	3	1	2	1000	3	NA	NA	6	43
"688"	""	1987	8	13	15	23	6.9	NA	NA	"PERU"	160	"CHILE:  ARICA; PERU:  AREQUIPA, TACNA"	-17.897	-70.931	37	6.4	5	1	1	NA	NA	1	1	NA	1	NA	NA	NA	NA	1	1	NA	NA	1	1	NA	1	NA	NA	NA	NA	6	67
"689"	""	1987	9	22	13	43	37.6	NA	NA	"ECUADOR"	160	"ECUADOR:  AMBATO, LATACUNGA, RIOBAMBA"	-0.978	-78.05	10	6.2	NA	2	1	NA	NA	12	1	NA	2	NA	3	NA	NA	2	1	NA	NA	12	1	NA	2	NA	3	NA	NA	6	21
"690"	""	1987	10	1	14	42	20	NA	NA	"USA"	150	"CALIFORNIA:  WHITTIER"	34.061	-118.078	10	5.7	8	8	1	NA	NA	200	3	358	4	NA	NA	NA	NA	8	1	NA	NA	200	3	358	4	NA	NA	NA	NA	5	36
"691"	""	1987	10	2	22	27	55.8	NA	NA	"PERU"	160	"PERU:  SANTAOG DE CHUCO, TRUJILLO, CHIMBOTE"	-8.143	-77.954	20	5.1	4	3	1	NA	NA	NA	NA	NA	2	NA	3	NA	NA	3	1	NA	NA	NA	NA	NA	3	NA	3	NA	NA	5	67
"692"	""	1987	10	4	10	59	38.1	NA	NA	"USA"	150	"CALIFORNIA:  WHITTIER, PASADENA"	34.07	-118.1	8	4.8	NA	1	1	NA	NA	NA	2	NA	2	NA	NA	NA	NA	1	1	NA	NA	NA	2	NA	2	NA	NA	NA	NA	4	36
"693"	""	1987	11	24	1	54	14.5	NA	NA	"USA"	150	"CALIFORNIA:  SUPERSTITION HILLS"	33.082	-115.775	5	6.2	6	2	1	NA	NA	NA	NA	3	2	NA	NA	NA	NA	2	1	NA	NA	NA	NA	3	2	NA	NA	NA	NA	6	36
"694"	""	1987	11	26	1	43	14	2178	4663	"INDONESIA"	60	"INDONESIA:  TIMOR:  PANTAR, MOUNT SIRUNG"	-8.247	124.155	33	6.5	NA	125	3	NA	NA	108	3	5	2	237	3	NA	NA	125	3	NA	NA	108	3	5	2	237	3	NA	NA	6	125
"695"	""	1987	12	17	2	8	19.9	NA	NA	"JAPAN"	30	"JAPAN:  HONSHU:  CHIBA PERFECTURE, TOKYO"	35.362	140.214	63	6	8	2	1	NA	NA	66	NA	5	2	NA	NA	NA	NA	2	1	NA	NA	66	2	5	2	NA	NA	NA	NA	6	63
"696"	""	1988	2	6	14	50	45.2	NA	NA	"BANGLADESH"	60	"BANGLADESH:  SYLHET; INDIA:  TIPURA-ASSAM"	24.688	91.57	33	5.8	NA	2	1	NA	NA	100	2	NA	2	NA	NA	NA	NA	2	1	NA	NA	100	2	NA	2	NA	NA	NA	NA	5	5
"697"	""	1988	6	19	20	19	52.6	NA	NA	"PHILIPPINES"	170	"PHILIPPINES:  MINDORO:  SAN JOSE, CALAPAN"	12.376	121.067	17	6.2	7	2	1	NA	NA	2	1	NA	2	NA	NA	NA	NA	2	1	NA	NA	2	1	NA	2	NA	NA	NA	NA	6	49
"698"	""	1988	7	20	23	15	36.6	NA	NA	"TAIWAN"	30	"TAIWAN:  HUALIEN, SU-HUA"	23.902	121.598	51	5.7	NA	1	1	NA	NA	1	1	NA	1	NA	NA	NA	NA	1	1	NA	NA	1	1	NA	1	NA	NA	NA	NA	5	54
"699"	""	1988	8	6	0	36	24.6	2372	NA	"MYANMAR (BURMA)"	60	"MYANMAR (BURMA);  INDIA:  GAUHATI, SIBSAGAR, IMPHAL"	25.149	95.127	91	7.2	6	3	1	NA	NA	42	1	NA	2	NA	NA	NA	NA	5	1	30	1	42	1	NA	2	NA	NA	NA	NA	7	11
"700"	""	1988	8	11	16	4	45.6	NA	NA	"IRAN"	140	"IRAN:  S, MAMASANI, BUSHEHR, NURABAD"	29.974	51.679	33	6.1	NA	1	1	NA	NA	NA	1	NA	2	NA	NA	2000	4	1	1	NA	NA	NA	1	NA	2	NA	NA	2000	4	6	138
"701"	""	1988	8	20	23	9	9.5	5735	NA	"NEPAL"	60	"NEPAL-INDIA:  KATHMANDU, BIHAR"	26.755	86.616	57	6.6	8	998	3	NA	NA	NA	NA	131.5	4	NA	NA	NA	NA	998	3	NA	1	NA	NA	131.5	4	NA	NA	NA	NA	6	10
"702"	""	1988	11	3	14	47	10.7	NA	NA	"GUATEMALA"	100	"GUATEMALA:  S PALIN, SAN VICENTE PACAYA"	13.881	-90.45	69	6	6	5	1	NA	NA	NA	2	NA	2	NA	NA	NA	NA	5	1	NA	NA	NA	2	NA	2	NA	NA	100	2	6	15
"703"	""	1988	11	6	13	3	19.3	NA	NA	"CHINA"	30	"CHINA:  YUNNAN PROVINCE"	22.789	99.611	18	7.3	10	738	3	NA	NA	3900	4	269	4	412000	4	NA	NA	738	3	NA	NA	3900	4	269	4	412000	4	NA	NA	7	152
"704"	""	1989	1	22	23	2	7.1	NA	NA	"TAJIKISTAN"	40	"TAJIKISTAN:  SHARORA, GISSAR"	38.465	68.694	33	5.3	7	274	3	NA	NA	NA	3	24.8	3	NA	NA	NA	NA	274	3	NA	NA	NA	3	24.8	3	NA	NA	NA	NA	5	14
"705"	""	1989	3	10	14	14	10.2	NA	NA	"PAPUA NEW GUINEA"	170	"PAPUA NEW GUINEA:  NEW BRITAIN:  RABAUL"	-4.346	152.797	53	5.4	5	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	22
"706"	""	1989	4	15	20	34	8.9	NA	NA	"CHINA"	30	"CHINA:  SICHUAN PROVINCE:  BATANG"	29.987	99.195	13	6.2	NA	11	1	NA	NA	42	1	164	4	NA	NA	NA	NA	11	1	NA	NA	42	1	164	4	NA	NA	NA	NA	6	152
"707"	""	1989	4	25	14	29	0.5	NA	NA	"MEXICO"	150	"MEXICO:  MEXICO CITY, ACAPULCO"	16.773	-99.328	19	6.8	6	3	1	NA	NA	NA	1	NA	2	NA	NA	NA	NA	3	1	NA	NA	NA	1	NA	2	NA	NA	NA	NA	6	53
"708"	""	1989	5	7	0	38	18.5	NA	NA	"CHINA"	30	"CHINA:  YUNNAN PROVINCE:  GENGMA, LANCANG, MENGLIAN"	23.553	99.526	33	5.6	NA	1	1	NA	NA	91	2	54	4	5300	4	NA	NA	1	1	NA	NA	91	2	54	4	5300	4	NA	NA	5	152
"709"	""	1989	5	27	20	8	37.3	NA	NA	"IRAN"	140	"IRAN:  DO GOBADAN, FARS, YASUJ"	30.167	50.921	31	5.8	NA	114	3	NA	NA	NA	NA	5	2	NA	NA	NA	NA	114	3	NA	NA	NA	NA	5	2	NA	NA	NA	NA	5	138
"710"	""	1989	6	12	0	4	9.7	NA	NA	"BANGLADESH"	60	"BANGLADESH:  BANARIPARA"	21.861	89.763	6	5.1	NA	1	1	NA	NA	NA	3	NA	2	NA	NA	NA	NA	1	1	NA	NA	NA	3	NA	2	NA	NA	NA	NA	5	5
"711"	""	1989	8	1	0	18	4.8	NA	NA	"INDONESIA"	170	"INDONESIA:  KURIMA DISTRICT, BALIEM RIVER"	-4.511	139.022	14	5.8	NA	120	3	NA	NA	125	3	1	2	NA	NA	NA	NA	120	3	NA	NA	125	3	1	2	NA	NA	NA	NA	5	125
"712"	""	1989	8	3	7	42	40.8	NA	NA	"RUSSIA"	40	"RUSSIA:  GROZNYY, BUYNAKSK"	43.522	45.362	18	5	6	1	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	8
"713"	""	1989	9	22	2	25	50.8	NA	NA	"CHINA"	30	"CHINA:  SICHUAN PROVINCE:  XIAOJIN COUNTY"	31.583	102.433	15	6.1	NA	1	1	NA	NA	151	3	NA	3	4270	4	NA	NA	1	1	NA	NA	151	3	NA	3	4270	4	NA	NA	6	152
"714"	""	1989	10	18	0	4	15.2	2188	NA	"USA"	150	"CALIFORNIA:  LOMA PRIETA"	37.036	-121.883	19	6.9	9	62	2	NA	NA	3757	4	5600	4	NA	3	NA	NA	62	2	NA	NA	3757	4	5600	4	NA	3	NA	NA	6	36
"715"	""	1989	10	18	14	57	22.4	NA	NA	"CHINA"	30	"CHINA:  SHANXI AND HEBEI PROVINCES; DATONG"	39.893	113.884	10	5.3	8	29	1	NA	NA	193	3	NA	3	30000	4	NA	NA	29	1	NA	NA	193	3	NA	3	30000	4	NA	NA	5	152
"716"	""	1989	10	29	19	9	12.9	2919	NA	"ALGERIA"	15	"ALGERIA:  ALGIERS, CHERCHELL, TIPAZA"	36.788	2.448	6	5.7	8	30	1	NA	NA	245	3	5	2	NA	NA	NA	NA	30	1	NA	NA	245	3	5	2	NA	NA	NA	NA	5	22
"717"	""	1989	11	20	3	21	7.8	NA	NA	"CHINA"	30	"CHINA:  SICHUAN PROVINCE:  JIANGBEI COUNTY"	29.882	106.804	33	4.7	NA	4	1	NA	NA	161	3	5	2	5000	4	53000	4	4	1	NA	NA	161	3	5	2	5000	4	53000	4	4	152
"718"	""	1989	11	20	4	19	4.6	NA	NA	"IRAN"	140	"IRAN:  SHAHDAD, KERMAN PROVINCE"	29.892	57.718	18	5.9	NA	3	1	NA	NA	45	1	NA	1	NA	NA	NA	NA	3	1	NA	NA	45	1	NA	1	NA	NA	NA	NA	5	138
"719"	""	1989	12	15	18	43	45	NA	NA	"PHILIPPINES"	170	"PHILIPPINES:  MINDANAO:  COTABATO, DAVAO"	8.337	126.729	24	7.5	6	2	1	NA	NA	NA	3	1	2	NA	NA	NA	NA	2	1	NA	NA	NA	3	1	2	NA	NA	NA	NA	7	49
"720"	""	1990	3	4	19	46	19.6	NA	NA	"PAKISTAN"	60	"PAKISTAN:  KALAT, QUETTA, MASTUNG"	28.925	66.331	10	6.1	NA	11	1	NA	NA	40	1	1	2	NA	NA	NA	3	11	1	NA	NA	40	1	1	2	NA	NA	NA	3	6	31
"721"	""	1990	3	26	22	47	16.7	NA	NA	"PHILIPPINES"	170	"PHILIPPINES:  SANTIAGO"	9.253	125.606	39	5.5	4	1	1	NA	NA	2	1	NA	1	NA	NA	NA	NA	1	1	NA	NA	2	1	NA	1	NA	NA	NA	NA	5	49
"722"	""	1990	4	18	13	39	19	NA	NA	"INDONESIA"	170	"INDONESIA:  MINAHASSA PENINSULA: BOLAANG-GORONTALO"	1.186	122.857	26	7.6	NA	3	1	NA	NA	25	1	NA	3	NA	NA	1140	4	3	1	NA	NA	25	1	NA	3	NA	NA	1140	4	7	125
"723"	""	1990	4	26	9	37	15	NA	NA	"CHINA"	30	"CHINA:  QINGHAI PROVINCE:  GANGHE-XINGHAI"	35.986	100.245	8	6.9	NA	126	3	NA	NA	2049	4	58.35	4	66800	4	66800	4	126	3	NA	NA	2049	4	58.35	4	66800	4	NA	NA	6	152
"724"	""	1990	5	5	7	21	29.5	NA	NA	"ITALY"	130	"ITALY:  POTENZA"	40.775	15.766	10	5.4	7	2	1	NA	NA	16	1	NA	2	NA	NA	NA	NA	2	1	NA	NA	16	1	NA	2	NA	NA	NA	NA	5	42
"725"	""	1990	5	30	2	34	5.8	NA	NA	"PERU"	160	"PERU:  MOYABAMBA-RIOJO"	-6.016	-77.229	24	6.5	6	200	3	NA	NA	8130	4	1	2	NA	NA	NA	NA	200	3	NA	NA	8130	4	1	2	NA	NA	NA	NA	6	67
"726"	""	1990	5	30	10	40	6.1	NA	NA	"ROMANIA"	110	"ROMANIA:  BUCHAREST, BRAILA, BRASOV"	45.841	26.668	89	6.7	6	14	1	NA	NA	700	3	23.7	3	NA	NA	NA	NA	14	1	NA	NA	700	3	23.7	3	NA	NA	NA	NA	6	5
"727"	""	1990	6	9	1	14	34.5	NA	NA	"PERU"	160	"PERU:  N, RIOJA, MOYOBAMBA, IQUITOS"	-6.062	-77.136	26	4.9	6	1	1	NA	NA	NA	NA	NA	1	14	1	NA	NA	1	1	NA	NA	NA	NA	NA	1	14	1	NA	NA	4	67
"728"	""	1990	6	14	7	40	56.2	NA	NA	"PHILIPPINES"	170	"PHILIPPINES:  CULASI, PANAY"	11.76	121.899	18	7.1	6	4	1	NA	NA	15	1	NA	2	NA	NA	NA	NA	4	1	NA	NA	15	1	NA	2	NA	NA	NA	NA	7	49
"729"	""	1990	6	20	21	0	9.9	5703	NA	"IRAN"	140	"IRAN:  RASHT, QAZVIN, ZANJAN,  RUDBAR, MANJIL"	36.957	49.409	19	7.3	7	40000	4	NA	NA	105000	4	7200	4	100000	4	NA	NA	40000	4	NA	NA	105000	4	7200	4	100000	4	NA	NA	7	138
"730"	""	1990	6	21	9	2	14.6	NA	NA	"IRAN"	140	"IRAN:  LOWSHAN, MANJIL"	36.636	49.799	15	5.6	7	20	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	20	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	5	138
"731"	""	1990	7	13	14	20	43.4	NA	NA	"AFGHANISTAN"	40	"AFGHANISTAN:  HINDU KUSH:  PIK LENINA"	36.415	70.789	217	5.6	4	43	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	35
"732"	""	1990	7	16	7	26	34.6	NA	NA	"PHILIPPINES"	170	"PHILIPPINES:  BAGUIO,  CABANATUAN, DAGUPAN"	15.679	121.172	25	7.8	9	2412	4	NA	NA	3000	4	369.6	4	NA	NA	NA	NA	2412	4	NA	NA	3000	4	369.6	4	NA	NA	NA	NA	7	49
"733"	""	1990	8	11	2	59	54.9	NA	NA	"ECUADOR"	160	"ECUADOR:  PAMASQUI,  QUITO"	-0.059	-78.449	5	4.4	NA	4	1	NA	NA	10	1	NA	3	NA	NA	1300	4	4	1	NA	NA	10	1	NA	3	NA	NA	1300	4	4	21
"734"	""	1990	9	26	23	8	23.9	NA	NA	"SOUTH AFRICA"	10	"SOUTH AFRICA:  WELKOM"	-28.014	26.727	5	4.2	NA	2	1	NA	NA	5	1	NA	1	NA	NA	NA	NA	2	1	NA	NA	5	1	NA	1	NA	NA	NA	NA	4	9
"735"	""	1990	10	18	9	30	44.4	NA	NA	"SOUTH AFRICA"	10	"SOUTH AFRICA:  CHARLETONVILLE"	-26.39	27.349	5	4	NA	10	1	NA	NA	6	1	NA	NA	NA	NA	NA	NA	10	1	NA	NA	6	1	NA	NA	NA	NA	NA	NA	4	9
"736"	""	1990	10	20	8	7	27.5	NA	NA	"CHINA"	30	"CHINA:  GANSU PROVINCE:  TIANZHU"	37.093	103.781	12	5.8	4	7	1	NA	NA	92	2	NA	3	87000	4	NA	NA	4	1	NA	NA	92	2	NA	3	87000	4	NA	NA	5	152
"737"	""	1990	10	25	4	53	59.9	NA	NA	"AFGHANISTAN"	40	"AFGHANISTAN:  HINDU KUSH:  CHITRAL, MARDAN, MALAKAND"	35.121	70.486	114	6	4	11	1	NA	NA	250	3	NA	1	NA	NA	NA	NA	11	1	NA	NA	250	3	NA	1	NA	NA	NA	NA	6	35
"738"	""	1990	11	6	18	45	52.2	NA	NA	"IRAN"	140	"IRAN:  S, DARAB"	28.251	55.462	11	6.5	8	22	1	NA	NA	90	2	232.3	4	1445	4	NA	NA	22	1	NA	NA	90	2	232.3	4	1445	4	NA	NA	6	138
"739"	""	1990	11	15	2	34	32.4	NA	NA	"INDONESIA"	60	"INDONESIA:   N SUMATERA, BLANGKEJEREN, KUTACANE"	3.908	97.457	48	6.8	NA	1	1	NA	NA	32	1	2.1	2	NA	NA	NA	NA	1	1	NA	NA	32	1	2.1	2	NA	NA	NA	NA	6	125
"740"	""	1990	12	13	0	24	25.7	2197	NA	"ITALY"	130	"ITALY:  SICILY:  CARLENTINI"	37.3	15.438	11	5.3	7	19	1	NA	NA	200	3	500	4	NA	NA	NA	NA	19	1	NA	NA	200	3	500	4	NA	NA	NA	NA	5	42
"741"	""	1990	12	13	3	1	48	NA	NA	"TAIWAN"	30	"TAIWAN:  HUALIEN,  TAIPEI"	23.916	121.636	12	6.2	4	2	1	NA	NA	3	1	NA	1	NA	NA	NA	NA	2	1	NA	NA	3	1	NA	1	NA	NA	NA	NA	6	54
"742"	""	1990	12	21	6	57	42.9	NA	NA	"GREECE"	130	"GREECE:  EDHESSA, KILKIS"	41.004	22.3	13	5.9	7	1	1	NA	NA	60	2	NA	1	NA	NA	NA	2	1	1	NA	NA	60	2	NA	1	NA	NA	NA	2	5	46
"743"	""	1990	12	22	17	27	54.8	NA	NA	"COSTA RICA"	100	"COSTA RICA:  ALAJUELA, SANTIAGO DE PURISCAL"	9.869	-84.302	17	5.7	8	2	1	NA	NA	350	3	19.5	3	NA	NA	NA	NA	2	1	NA	NA	350	3	19.5	3	NA	NA	NA	NA	5	12
